Format,ID,AI,Human
Frühstücksfernsehen,FM006W6K,Anekdote über Dreharbeiten / Filmaufnahmen; Küssszene mit technischem Malheur / Zwischenfall; Lachanfall unter Schauspielern / Darstellern und Regisseur / Filmemacher,"Interview-Statement zu lustiger Kussszene mit Matthias Schweighöfer, bei der seine aufgeklebte Narbe abgegangen ist"
Frühstücksfernsehen,FM006W66,Urteil Karlsruhe stärkt Rechte von Autofahrern / Halter; Halter nicht automatisch Täter bei Parkverstößen; Verfahrenskosten bleiben jedoch an Halter haften,Gerichtsurteil von Bundesverfassungsgericht in Karlsruhe zum Vorteil von Autofahrern / Halter // Fahrzeughalter nicht automatisch Täter bei Parkverstößen // Haftung Verfahrenskosten jedoch trotzdem bei Halter // Expertenmeinung von Fachanwalt für Verkehrsrecht Gregor Samimi.
Frühstücksfernsehen,FM006W29,"Ein Diebstahl / Diebeszug in Olpe sorgt für Aufsehen; Fahrradgeschäft-Inhaber / Geschäftsführer erlebt vierten Einbruch, wobei E-Bikes / Fahrräder mit Metallstange / Angel entwendet werden; Gesamtschaden beträgt etwa 70.000 Euro",Kurioser Diebstahl / Diebeszug in Fahrradladen / Fahrradgeschäft in Olp // Klauen E-Bikes durch Täter mit vier Meter langer Haken über Dach von Geschäft // Interview mit Besitzer sowie Polizei und Blick auf Überwachungskameras.
Nachrichten,BA2QSY8G," Besuch Volodymyr Zelenskys, Präsident / Kopf der Ukraine, im Bundestag / Parlament; Forderung nach mehr Unterstützung / Hilfe für ein friedliches Europa / Festland; Ukraine-Wiederaufbau-Konferenz diskutiert zerstörte Infrastruktur und private Investitionen / Anlagen",Erster Besuch ukrainischer Präsident Wolodymyr Selenskyj im Bundestag mit Rede / Appell wg Unterstützung im Krieg gegen russische Aggression; scharfe Kritik Friedrich Merz an Fernbleiben AfD- und BSW-Abgeordnete; Rechtfertigung Sahra Wagenknecht // Ukraine-Wiederaufbau-Konferenz in Berlin mit Selenskyj: Reden Olaf Scholz (betont Bedeutung militärischer Hilfe / Stärkung Luftverteidigung) und Robert Habeck (zu wirtschaftlicher Aufbauhilfe deutscher Firmen in Ukraine)
Nachrichten,BA2QSY4H,Unbeständiges Wetter / Schauer in Deutschland bedroht Freibad-Betrieb / Unternehmen in Schwerte; Schafskälte / Kälteeinbruch sorgt für sinkende Temperaturen; Extreme Wetterlagen / Klima treffen Europa mit Überschwemmungen / Hochwasser und Hitzewellen,Kälteeinbruch kühles Regenwetter in Deutschland bedroht Freibad-Betrieb in Schwerte / NRW; Statement Metereologe zu Wetterphänomen Schafskälte im Frühsommer; Extreme Wetterlagen treffen Südeuropa mit ungewöhnlich starken Überschwemmungen / Hochwasser auf Mallorca und Hitzewelle im östlichen Mittelmeer
Nachrichten,BA2QSXSG,Miroslav Klose wird neuer Cheftrainer / Übungsleiter des 1. FC Nürnberg; Karl Bebendorf erkämpft Bronze / Medaille im 3000 Meter Hindernislauf / Männer; Alba Berlin gleicht in Basketballmeisterschaft / Serie gegen Bayern München aus,"Verpflichtung Miroslav Klose als neuer Fußball-Cheftrainer des 1. FC Nürnberg, PK-Statement ex-Fußballprofi // Leichtathletik-Europameisterschaft: Olympia-Athlet Karl Bebendorf erkämpft Bronze-Medaille im 3000 Meter Hindernislauf // Deutsche Basketball-Meisterschaft: Auswärtssieg Alba Berlin im Best of Five-Finale beim FC Bayern München // NFL-Eishockey: Erneute Finalserie-Niederlage Edmonton Oilers gegen Florida Panthers, selbstkritisches Statement Leon Draisaitl"
Nachrichten,BA2QSXNY,"Apple präsentiert auf Entwicklerkonferenz / Entwicklertreffen neue ""Apple Intelligence""-KI-Funktionen; Integration von ChatGPT und Partnerschaft mit OpenAI angekündigt. Elon Musk, Mitbegründer / Gründer von OpenAI, kritisiert Datenzugang und äußert Sicherheitsbedenken; Datenschutz betont, optionale Nutzung der KI-Dienste / Funktionen","Vorstellung neue ""Apple Intelligence""-KI-Funktionen durch Apple-Chef Tim Cook mit Werbevideo auf Entwicklerkonferenz: Ankündigung Integration von ChatGPT und Partnerschaft mit OpenAI; Kritik OpenAI-Mitbegründer Elon Musk wegen Sicherheitsbedenken beim Datenschutz, will Apple-Geräte im X-Konzern daher potenziell verbieten; Künstliche Intelligenz-Experte Marcello Ienca hält Kritik für eher unbegründet"
Nachrichten,BA2QTM8G,Hochwasser in Süddeutschland verursacht erhebliche Schäden / Schandflecke; Aufräumarbeiten unter Koordination des Landrats / Oberhaupts laufen; Bürger / Leute zu Eigenschutz / Eigenverantwortung aufgerufen,Entspannung bei Hochwasser in Süddeutschland. Aufräumarbeiten unter Koordination von Landrat in Pfaffenhofen an der Ilm. Erhebliche Schäden durch Überschwemmung in Burgau. Langsamer Rückgang Hochwasser in Passau. Markus Söder bei Besuch in Passau. 
Nachrichten,BA2QTCTS,Donald Trump ist in allen 34 Anklagepunkten schuldig gesprochen worden; Ehemaliger US-Präsident / Regierungschef zeigt sich als Opfer / Betroffener von Betrug / Trug; Strafmaß / Urteil wird am 11. Juli verkündet / öffentlich gemacht,Historisches Gerichtsurteil strafrechtliche Verurteilung ex-Präsident Donald Trump wg Fälschung Geschäftsberichte / Vertuschung Sexaffäre-Schweigegeldzahlungen an Stormy Daniels 2016: Fotos / Gerichtszeichnungen; Jubel Trump-Gegner vor Gerichtsgebäude New York; Präsidentschaftskandidat geriert sich bei PK als Willküropfer; Statement Staatsanwalt Alvin Bragg
Galileo,BA2QR3SB,"In Schweden ermöglicht App ""Scout Park"" Bürgern, Falschparker/Parkverstoß/Straßenverkehr zu melden und dafür Prämie/Geldlohn zu erhalten. ; Eine Verifizierung durch Parkwächter/Ordnungsamt ist erforderlich, bevor Strafzettel/Sanktion ausgestellt wird. ; Deutsches Pendant, Wegli-Web-App, bietet ähnliche Meldefunktion, jedoch ohne finanzielle Anreize/Entlohnung.","Einführung von App ""Scout Park"" in schwedischer Stadt Uppsala mit Möglichkeit für Bürger zu Meldung von Falschparkern / Parkverstöße an Behörden gegen eine Zahlung von Geldprämie."
Frühstücksfernsehen,FM006TW4,"Victoria Beckham feiert 50. Geburtstag / Jahrestag; Dankt auf Instagram Familie / Angehörigen, besonders David Beckham, für Liebe / Zuneigung, Unterstützung / Beistand; Betont Bedeutung von High Heels / Stöckelschuhe als persönliches Muss.",Victoria Beckhams 50. Geburtstag: Gemeinsame Bilder mit Ehemann David Beckham auf dem roten Teppich; Instagram: Posts mit Glückwünschen und Fotos in High Heels
Taff,BA2RNQG6,"Jeansmode / Hosenstil spiegelt Generationenkluft / Altersunterschied wider; Jüngere bevorzugen Baggy-Jeans / Schlupfhosen, Ältere halten an Skinny-Jeans / Röhrenhosen fest; Experimente mit unterschiedlichen Schnitten / Formen könnten Modetrend / Kleidungsstil vereinen.","Interviews / Straßenumfrage unter Passanten / Fußgänger, Menschen, Jeansträger in Berlin über deren Jeansmode / Hosenstil // Erklärung / Vorstellung angebliche ""Jeanslücke"" / Generationenkluft / Altersunterschied zwischen Jugendlichen (lockere Baggy Pants / weite Hosen) und Älteren / Ü-30 (Skinny / Röhrenhosen) bei Auswahl / Mode / Vorliebe für Jeanshose. (Modetrend; Generationen)"
Taff,BA2QR65S,Steigende Preise auf Mallorca sorgen für Unmut bei Touristen; Sonnenliegen am Strand von Alcúdia verteuern sich signifikant; Lokale am Ballermann passen Getränkepreise tagesaktuell an.,"Unmut bei deutsche Touristen / Urlauber über tlw. deutlich höhere / steigende Preise / Preissteigerung (u.a. für Sonnenliegen, Getränke / Getränkepreise) auf beliebte Insel, Balearen, Spanien // Ratgeber / Tipp für Kosten / Kostenkalkulation von dortiger Urlaub. (Reise; Tourismus)"
